season,mvp_rank,player_id,player_name,player_url,team,mvp_share
2019-20,1,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.952
2019-20,2,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.746
2019-20,3,hardeja01,James Harden,/players/h/hardeja01.html,HOU,0.363
2019-20,4,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.198
2019-20,5,leonaka01,Kawhi Leonard,/players/l/leonaka01.html,LAC,0.166
2019-20,6,davisan02,Anthony Davis,/players/d/davisan02.html,LAL,0.081
2019-20,7,paulch01,Chris Paul,/players/p/paulch01.html,OKC,0.026
2019-20,8,lillada01,Damian Lillard,/players/l/lillada01.html,POR,0.023
2019-20,9,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.018
2019-20,10,siakapa01,Pascal Siakam,/players/s/siakapa01.html,TOR,0.017
2019-20,11,butleji01,Jimmy Butler,/players/b/butleji01.html,MIA,0.009
2019-20,12,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.001
2020-21,1,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.961
2020-21,2,embiijo01,Joel Embiid,/players/e/embiijo01.html,PHI,0.58
2020-21,3,curryst01,Stephen Curry,/players/c/curryst01.html,GSW,0.449
2020-21,4,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.345
2020-21,5,paulch01,Chris Paul,/players/p/paulch01.html,PHO,0.138
2020-21,6,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.042
2020-21,7,lillada01,Damian Lillard,/players/l/lillada01.html,POR,0.038
2020-21,8,randlju01,Julius Randle,/players/r/randlju01.html,NYK,0.02
2020-21,9,rosede01,Derrick Rose,/players/r/rosede01.html,TOT,0.01
2020-21,10,goberru01,Rudy Gobert,/players/g/goberru01.html,UTA,0.008
2020-21,11,westbru01,Russell Westbrook,/players/w/westbru01.html,WAS,0.005
2020-21,12,simmobe01,Ben Simmons,/players/s/simmobe01.html,PHI,0.003
2020-21,13,hardeja01,James Harden,/players/h/hardeja01.html,TOT,0.001
2020-21,13,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.001
2020-21,13,leonaka01,Kawhi Leonard,/players/l/leonaka01.html,LAC,0.001
2021-22,1,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.875
2021-22,2,embiijo01,Joel Embiid,/players/e/embiijo01.html,PHI,0.706
2021-22,3,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.595
2021-22,4,bookede01,Devin Booker,/players/b/bookede01.html,PHO,0.216
2021-22,5,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.146
2021-22,6,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.043
2021-22,7,moranja01,Ja Morant,/players/m/moranja01.html,MEM,0.01
2021-22,8,curryst01,Stephen Curry,/players/c/curryst01.html,GSW,0.004
2021-22,9,paulch01,Chris Paul,/players/p/paulch01.html,PHO,0.002
2021-22,10,derozde01,DeMar DeRozan,/players/d/derozde01.html,CHI,0.001
2021-22,10,duranke01,Kevin Durant,/players/d/duranke01.html,BRK,0.001
2021-22,10,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.001
2022-23,1,embiijo01,Joel Embiid,/players/e/embiijo01.html,PHI,0.915
2022-23,2,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.674
2022-23,3,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.606
2022-23,4,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.28
2022-23,5,gilgesh01,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,0.046
2022-23,6,mitchdo01,Donovan Mitchell,/players/m/mitchdo01.html,CLE,0.03
2022-23,7,sabondo01,Domantas Sabonis,/players/s/sabondo01.html,SAC,0.027
2022-23,8,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.01
2022-23,9,curryst01,Stephen Curry,/players/c/curryst01.html,GSW,0.005
2022-23,10,butleji01,Jimmy Butler,/players/b/butleji01.html,MIA,0.003
2022-23,11,foxde01,De'Aaron Fox,/players/f/foxde01.html,SAC,0.002
2022-23,12,brunsja01,Jalen Brunson,/players/b/brunsja01.html,NYK,0.001
2022-23,12,moranja01,Ja Morant,/players/m/moranja01.html,MEM,0.001
2023-24,1,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.935
2023-24,2,gilgesh01,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,0.646
2023-24,3,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.572
2023-24,4,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.194
2023-24,5,brunsja01,Jalen Brunson,/players/b/brunsja01.html,NYK,0.143
2023-24,6,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.087
2023-24,7,edwaran01,Anthony Edwards,/players/e/edwaran01.html,MIN,0.018
2023-24,8,sabondo01,Domantas Sabonis,/players/s/sabondo01.html,SAC,0.003
2023-24,9,duranke01,Kevin Durant,/players/d/duranke01.html,PHO,0.001
2024-25,1,gilgesh01,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,0.913
2024-25,2,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.787
2024-25,3,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.47
2024-25,4,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.311
2024-25,5,mitchdo01,Donovan Mitchell,/players/m/mitchdo01.html,CLE,0.074
2024-25,6,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.016
2024-25,7,cunnica01,Cade Cunningham,/players/c/cunnica01.html,DET,0.012
2024-25,7,edwaran01,Anthony Edwards,/players/e/edwaran01.html,MIN,0.012
2024-25,9,curryst01,Stephen Curry,/players/c/curryst01.html,GSW,0.002
2024-25,10,brunsja01,Jalen Brunson,/players/b/brunsja01.html,NYK,0.001
2024-25,10,hardeja01,James Harden,/players/h/hardeja01.html,LAC,0.001
2024-25,10,mobleev01,Evan Mobley,/players/m/mobleev01.html,CLE,0.001
2025-26,1,gilgesh01,Shai Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,0.939
2025-26,2,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.634
2025-26,3,wembavi01,Victor Wembanyama,/players/w/wembavi01.html,SAS,0.569
2025-26,4,doncilu01,Luka Dončić,/players/d/doncilu01.html,LAL,0.25
2025-26,5,cunnica01,Cade Cunningham,/players/c/cunnica01.html,DET,0.117
2025-26,6,brownja02,Jaylen Brown,/players/b/brownja02.html,BOS,0.089
2025-26,7,leonaka01,Kawhi Leonard,/players/l/leonaka01.html,LAC,0.001
2025-26,7,mitchdo01,Donovan Mitchell,/players/m/mitchdo01.html,CLE,0.001
